Title,Year,Rating,,IMDb,Streaming
The Simpsons,1989,7,,9.5,1
Friends,1994,16,,9.3,0
South Park,1997,18,,9.2,0
The Sopranos,1999,18,,8.8,1
Band of Brothers,2001,18,,8.8,1
The Wire,2002,18,,9.2,1
Firefly,2002,16,,9.1,1
House,2004,16,,9.4,0
Lost,2004,16,,8.9,0
Avatar: The Last Airbender,2005,7,,8.9,1
The Office,2005,16,,8.7,1
Supernatural,2005,16,,9.3,0
It's Always Sunny in Philadelphia,2005,18,,8.4,0
Dexter,2006,18,,8.9,0
The Big Bang Theory,2007,16,,8.8,1
Mad Men,2007,16,,9.4,0
Breaking Bad,2008,18,,8.8,0
Fringe,2008,16,,8.7,0
Parks and Recreation,2009,16,,8.4,1
Community,2009,7,,8.8,1
Modern Family,2009,16,,8.5,0
Fullmetal Alchemist: Brotherhood,2009,18,,8.5,0
Sherlock,2010,16,,9.2,0
The Walking Dead,2010,18,,8.7,0
Game of Thrones,2011,18,,8.7,0
Black Mirror,2011,18,,8.3,0
Suits,2011,16,,8.7,0
Rick and Morty,2013,18,,8,1
Attack on Titan,2013,16,,8.8,1
Peaky Blinders,2013,18,,9,0
Vikings,2013,18,,8.6,1
Brooklyn Nine-Nine,2013,16,,8.4,0
Hannibal,2013,18,,8.2,1
Fargo,2014,18,,8.6,0
True Detective,2014,18,,8.6,1
Better Call Saul,2015,18,,8.7,0
Mr. Robot,2015,18,,8.5,0
Narcos,2015,18,,8.5,1
Marvel's Daredevil,2015,18,,8.6,0
Stranger Things,2016,16,,8.5,0
Westworld,2016,18,,8.4,0
Lucifer,2016,16,,8.4,0
Dark,2017,16,,8.1,0
Money Heist,2017,18,,9,0
Mindhunter,2017,18,,8.6,0
Ozark,2017,18,,9.1,0
Chernobyl,2019,18,,8.4,1
The Mandalorian,2019,7,,8.2,1
The Umbrella Academy,2019,16,,8.2,1
The Witcher,2019,18,,8.8,0
